user_id,prd_id,title,ranking
Ukraine,Fruits,Fruits,3539
Uganda,Cosmetics,Cosmetics,4803
Ghana,Beverages,Beverages,9817
Namibia,Vegetables,Vegetables,4837
Republic of the Congo,Household,Household,8149
Netherlands,Meat,Meat,5070
Australia,Cereal,Cereal,2948
Montenegro,Snacks,Snacks,6165
Iraq,Household,Household,1130
Cote d'Ivoire,Beverages,Beverages,1286
Mexico,Office Supplies,Office Supplies,2108
Slovakia,Vegetables,Vegetables,6098
Bulgaria,Office Supplies,Office Supplies,7795
Afghanistan,Office Supplies,Office Supplies,8765
Indonesia,Cereal,Cereal,2607
Italy,Cosmetics,Cosmetics,9951
Ukraine,Cereal,Cereal,3457
Thailand,Office Supplies,Office Supplies,2819
Mali,Office Supplies,Office Supplies,9759
Mexico,Personal Care,Personal Care,3034
Lebanon,Baby Food,Baby Food,3428
South Korea,Beverages,Beverages,8759
United Arab Emirates,Meat,Meat,8877
Georgia,Household,Household,660
Guinea-Bissau,Fruits,Fruits,3020
Georgia,Vegetables,Vegetables,1900
Malawi,Personal Care,Personal Care,5272
Saudi Arabia,Household,Household,8143
Saint Lucia,Fruits,Fruits,7547
Macedonia,Snacks,Snacks,7552
Rwanda,Beverages,Beverages,4258
Dominica,Beverages,Beverages,794
Libya,Baby Food,Baby Food,2320
Angola,Personal Care,Personal Care,1030
Lesotho,Household,Household,1147
Mauritius ,Meat,Meat,3925
Sudan,Snacks,Snacks,2652
Slovakia,Snacks,Snacks,7644
Japan,Cosmetics,Cosmetics,1251
Estonia,Household,Household,2851
Laos,Baby Food,Baby Food,3856
Belgium,Clothes,Clothes,2709
Bhutan,Meat,Meat,9882
United States of America,Household,Household,2882
Egypt,Personal Care,Personal Care,1244
Sweden,Household,Household,1535
Nepal,Baby Food,Baby Food,2354
Senegal,Clothes,Clothes,9332
Dominican Republic,Baby Food,Baby Food,128
Ukraine,Clothes,Clothes,9436
Comoros,Clothes,Clothes,3979
Benin,Cereal,Cereal,7513
Ethiopia,Fruits,Fruits,5822
Djibouti,Cosmetics,Cosmetics,1725
United Arab Emirates,Cosmetics,Cosmetics,70
Italy,Beverages,Beverages,2737
Kazakhstan,Clothes,Clothes,3637
The Bahamas,Cosmetics,Cosmetics,3713
Algeria,Fruits,Fruits,5938
Malta,Office Supplies,Office Supplies,317
Sudan,Personal Care,Personal Care,8886
Lithuania,Baby Food,Baby Food,713
Lesotho,Office Supplies,Office Supplies,6896
Israel,Snacks,Snacks,5565
Benin,Baby Food,Baby Food,6882
Burundi,Snacks,Snacks,8038
Costa Rica,Clothes,Clothes,8257
Maldives,Office Supplies,Office Supplies,3795
Mauritania,Vegetables,Vegetables,2937
Liberia,Beverages,Beverages,1000
East Timor,Meat,Meat,5334
Sweden,Vegetables,Vegetables,318
Republic of the Congo,Personal Care,Personal Care,2363
Uzbekistan,Meat,Meat,4912
Saudi Arabia,Snacks,Snacks,3438
South Africa,Snacks,Snacks,447
Lesotho,Cosmetics,Cosmetics,474
Thailand,Clothes,Clothes,5086
Australia,Cereal,Cereal,7883
Dominica,Cosmetics,Cosmetics,9494
Monaco,Cosmetics,Cosmetics,2581
Egypt,Snacks,Snacks,6835
Ireland,Meat,Meat,3981
South Korea,Office Supplies,Office Supplies,2773
Kyrgyzstan,Beverages,Beverages,3997
Benin,Cosmetics,Cosmetics,5471
India,Cereal,Cereal,7044
Burundi,Baby Food,Baby Food,5595
Maldives,Meat,Meat,35
India,Clothes,Clothes,6307
United Arab Emirates,Fruits,Fruits,2384
Sudan,Baby Food,Baby Food,3272
Swaziland,Fruits,Fruits,6007
Angola,Beverages,Beverages,4655
Slovenia,Cosmetics,Cosmetics,5316
North Korea,Personal Care,Personal Care,1119
Tanzania,Office Supplies,Office Supplies,7225
Papua New Guinea,Snacks,Snacks,5828
Turkmenistan,Cereal,Cereal,1149
Grenada,Cosmetics,Cosmetics,4446
Sweden,Cereal,Cereal,9003
Greece,Snacks,Snacks,5137
Costa Rica,Cereal,Cereal,5199
Kiribati,Snacks,Snacks,8566
Turkmenistan,Meat,Meat,6652
Somalia,Beverages,Beverages,7897
Saudi Arabia,Meat,Meat,2776
Portugal,Clothes,Clothes,8793
Iran,Baby Food,Baby Food,5485
Cambodia,Personal Care,Personal Care,9419
Switzerland,Personal Care,Personal Care,9193
Dominica,Vegetables,Vegetables,438
Kazakhstan,Household,Household,815
Myanmar,Snacks,Snacks,5015
Mauritius ,Office Supplies,Office Supplies,9763
Comoros,Personal Care,Personal Care,8814
Vietnam,Snacks,Snacks,7953
South Africa,Beverages,Beverages,9999
The Bahamas,Office Supplies,Office Supplies,9799
Tunisia ,Snacks,Snacks,9234
South Sudan,Personal Care,Personal Care,2214
Guinea,Cereal,Cereal,9682
Vietnam,Personal Care,Personal Care,4612
Grenada,Vegetables,Vegetables,7009
Trinidad and Tobago,Fruits,Fruits,8908
Israel,Household,Household,9378
Papua New Guinea,Fruits,Fruits,9516
Iraq,Cosmetics,Cosmetics,7453
Sudan,Baby Food,Baby Food,3350
Vatican City,Household,Household,4398
Norway,Household,Household,9823
Kosovo,Household,Household,5878
Papua New Guinea,Cereal,Cereal,850
Kuwait,Meat,Meat,56
Tuvalu,Baby Food,Baby Food,845
Nicaragua,Cereal,Cereal,7596
Croatia,Clothes,Clothes,6721
Haiti,Fruits,Fruits,1663
Tuvalu,Meat,Meat,7894
Croatia,Meat,Meat,7920
Czech Republic,Cereal,Cereal,6277
Egypt,Cosmetics,Cosmetics,4532
Sierra Leone,Vegetables,Vegetables,6284
Rwanda,Fruits,Fruits,2163
Macedonia,Meat,Meat,4830
Andorra,Meat,Meat,3977
China,Clothes,Clothes,1327
Panama,Meat,Meat,5637
Tonga,Baby Food,Baby Food,7691
Finland,Meat,Meat,5308
Senegal,Beverages,Beverages,8335
Maldives,Meat,Meat,3654
Montenegro,Beverages,Beverages,174
Guinea,Vegetables,Vegetables,3839
Lesotho,Cosmetics,Cosmetics,2622
Dominican Republic,Office Supplies,Office Supplies,1527
Jordan,Meat,Meat,7591
Papua New Guinea,Cosmetics,Cosmetics,4882
Libya,Household,Household,9498
Cuba,Meat,Meat,4569
Saint Kitts and Nevis ,Baby Food,Baby Food,5255
Finland,Vegetables,Vegetables,3750
Greenland,Personal Care,Personal Care,4277
Netherlands,Baby Food,Baby Food,8091
Kuwait,Meat,Meat,8478
Belgium,Beverages,Beverages,5755
Egypt,Fruits,Fruits,2272
Dominican Republic,Cosmetics,Cosmetics,7407
United Arab Emirates,Fruits,Fruits,2572
Syria,Vegetables,Vegetables,6210
United Kingdom,Clothes,Clothes,8794
Monaco,Cereal,Cereal,7829
Syria,Meat,Meat,2851
Dominica,Personal Care,Personal Care,427
Tuvalu,Vegetables,Vegetables,9157
Iceland,Baby Food,Baby Food,4669
Antigua and Barbuda ,Personal Care,Personal Care,4626
Cote d'Ivoire,Cereal,Cereal,3719
Tuvalu,Vegetables,Vegetables,8672
Mauritius ,Fruits,Fruits,3241
El Salvador,Meat,Meat,3210
Maldives,Snacks,Snacks,1398
Australia,Snacks,Snacks,2653
Iran,Beverages,Beverages,8855
Guinea,Personal Care,Personal Care,3916
Japan,Fruits,Fruits,8777
Kuwait,Cereal,Cereal,6412
Rwanda,Vegetables,Vegetables,6826
Slovenia,Cereal,Cereal,2056
Cambodia,Meat,Meat,1168
Morocco,Vegetables,Vegetables,5261
Somalia,Household,Household,2465
Azerbaijan,Cosmetics,Cosmetics,2942
Moldova ,Clothes,Clothes,3883
Italy,Snacks,Snacks,4513
Ghana,Cosmetics,Cosmetics,1086
Israel,Cereal,Cereal,1888
Benin,Fruits,Fruits,2236
Taiwan,Clothes,Clothes,9480
Mozambique,Baby Food,Baby Food,7999
Samoa ,Cereal,Cereal,4205
Afghanistan,Cosmetics,Cosmetics,1539
Mauritania,Fruits,Fruits,5475
Mozambique,Office Supplies,Office Supplies,8519
Fiji,Fruits,Fruits,5206
Albania,Snacks,Snacks,7103
South Sudan,Household,Household,7811
Egypt,Personal Care,Personal Care,7957
Portugal,Beverages,Beverages,204
Netherlands,Office Supplies,Office Supplies,4243
Democratic Republic of the Congo,Cosmetics,Cosmetics,1799
Albania,Clothes,Clothes,1626
Papua New Guinea,Vegetables,Vegetables,4510
Maldives,Cereal,Cereal,8270
Gabon,Baby Food,Baby Food,2752
Greenland,Fruits,Fruits,4838
Sierra Leone,Personal Care,Personal Care,3439
Costa Rica,Cereal,Cereal,4496
Hungary,Fruits,Fruits,5984
Greece,Cereal,Cereal,2907
The Bahamas,Baby Food,Baby Food,2301
Estonia,Personal Care,Personal Care,8235
Tonga,Vegetables,Vegetables,6805
Egypt,Household,Household,1144
Norway,Clothes,Clothes,6410
Kenya,Baby Food,Baby Food,4798
Bangladesh,Vegetables,Vegetables,530
France,Cereal,Cereal,4861
Marshall Islands,Cereal,Cereal,1078
Bosnia and Herzegovina,Vegetables,Vegetables,9498
Namibia,Meat,Meat,2470
Croatia,Household,Household,9373
Norway,Cosmetics,Cosmetics,1618
Croatia,Snacks,Snacks,7649
Sierra Leone,Cereal,Cereal,7937
Russia,Meat,Meat,9990
Ireland,Fruits,Fruits,3342
Pakistan,Snacks,Snacks,4561
Canada,Vegetables,Vegetables,2246
Qatar,Beverages,Beverages,2026
Turkmenistan,Personal Care,Personal Care,1562
Moldova ,Meat,Meat,5548
Pakistan,Vegetables,Vegetables,706
Tuvalu,Cereal,Cereal,792
Sri Lanka,Office Supplies,Office Supplies,1592
Finland,Baby Food,Baby Food,5922
France,Office Supplies,Office Supplies,8633
Bahrain,Fruits,Fruits,1602
Cote d'Ivoire,Snacks,Snacks,8743
Hungary,Personal Care,Personal Care,996
Bulgaria,Clothes,Clothes,1337
Afghanistan,Personal Care,Personal Care,9768
Kosovo,Cosmetics,Cosmetics,8328
Australia,Meat,Meat,6083
United Kingdom,Personal Care,Personal Care,4131
Germany,Office Supplies,Office Supplies,603
Spain,Personal Care,Personal Care,5660
Latvia,Baby Food,Baby Food,6494
Italy,Cosmetics,Cosmetics,2328
Lebanon,Snacks,Snacks,9418
Romania,Vegetables,Vegetables,6050
Lebanon,Cosmetics,Cosmetics,7542
Bosnia and Herzegovina,Household,Household,1241
Maldives,Cereal,Cereal,1527
Cape Verde,Personal Care,Personal Care,4813
Ethiopia,Vegetables,Vegetables,4540
Cape Verde,Fruits,Fruits,6181
Kosovo,Office Supplies,Office Supplies,2242
Dominican Republic,Personal Care,Personal Care,7259
Monaco,Household,Household,2800
Federated States of Micronesia,Fruits,Fruits,2462
The Bahamas,Cereal,Cereal,6876
Barbados,Personal Care,Personal Care,8702
Burkina Faso,Office Supplies,Office Supplies,7634
Slovakia,Snacks,Snacks,5395
Samoa ,Fruits,Fruits,740
Cambodia,Clothes,Clothes,4454
South Sudan,Clothes,Clothes,4356
Chad,Cosmetics,Cosmetics,294
South Korea,Cereal,Cereal,9148
Georgia,Office Supplies,Office Supplies,9828
Montenegro,Baby Food,Baby Food,8278
Cambodia,Personal Care,Personal Care,2471
Lebanon,Beverages,Beverages,7411
Tonga,Personal Care,Personal Care,136
Guinea,Fruits,Fruits,4712
Mozambique,Cosmetics,Cosmetics,7238
Mauritius ,Beverages,Beverages,844
Cyprus,Household,Household,690
Andorra,Snacks,Snacks,8971
Canada,Fruits,Fruits,9908
Croatia,Vegetables,Vegetables,4757
The Gambia,Snacks,Snacks,6804
Greece,Snacks,Snacks,6366
United States of America,Baby Food,Baby Food,5793
Philippines,Vegetables,Vegetables,4463
Chad,Fruits,Fruits,3789
Netherlands,Personal Care,Personal Care,2212
Armenia,Household,Household,206
Costa Rica,Cosmetics,Cosmetics,5276
Costa Rica,Fruits,Fruits,6958
Zimbabwe,Fruits,Fruits,1820
Uzbekistan,Meat,Meat,8459
Afghanistan,Baby Food,Baby Food,2507
Ghana,Snacks,Snacks,1624
Jordan,Cosmetics,Cosmetics,502
Ukraine,Personal Care,Personal Care,5865
Pakistan,Cosmetics,Cosmetics,1469
Cameroon,Meat,Meat,3098
Botswana,Vegetables,Vegetables,3572
Niger,Fruits,Fruits,7737
Morocco,Clothes,Clothes,7474
Ethiopia,Fruits,Fruits,6695
Guinea,Cosmetics,Cosmetics,6341
Slovakia,Household,Household,9386
Ukraine,Cereal,Cereal,5836
Georgia,Office Supplies,Office Supplies,7725
Sudan,Clothes,Clothes,4122
Swaziland,Cereal,Cereal,6126
Mexico,Fruits,Fruits,1865
Uganda,Cereal,Cereal,1502
Malta,Office Supplies,Office Supplies,2229
Netherlands,Household,Household,3268
Central African Republic,Household,Household,876
Mauritania,Household,Household,3338
Madagascar,Vegetables,Vegetables,5972
The Bahamas,Clothes,Clothes,6126
Kosovo,Office Supplies,Office Supplies,8181
Serbia,Fruits,Fruits,8546
Lithuania,Household,Household,665
Panama,Office Supplies,Office Supplies,12
China,Household,Household,9091
Cyprus,Cereal,Cereal,2438
Angola,Household,Household,1621
Mongolia,Baby Food,Baby Food,238
Bhutan,Clothes,Clothes,8919
Djibouti,Office Supplies,Office Supplies,326
Papua New Guinea,Household,Household,4151
Bulgaria,Household,Household,2117
Eritrea,Snacks,Snacks,2979
Thailand,Office Supplies,Office Supplies,7524
Equatorial Guinea,Household,Household,3568
Cote d'Ivoire,Personal Care,Personal Care,961
Panama,Cosmetics,Cosmetics,6582
Uganda,Office Supplies,Office Supplies,9343
Greece,Cereal,Cereal,5185
Cote d'Ivoire,Baby Food,Baby Food,2083
Philippines,Baby Food,Baby Food,5041
San Marino,Office Supplies,Office Supplies,1096
United Arab Emirates,Cereal,Cereal,4314
Democratic Republic of the Congo,Fruits,Fruits,795
Canada,Office Supplies,Office Supplies,3669
Tunisia ,Snacks,Snacks,8095
Niger,Snacks,Snacks,6268
Tajikistan,Office Supplies,Office Supplies,2410
France,Clothes,Clothes,7777
Panama,Snacks,Snacks,5654
Slovenia,Personal Care,Personal Care,6359
Denmark,Clothes,Clothes,2241
Federated States of Micronesia,Fruits,Fruits,2679
China,Personal Care,Personal Care,9085
Panama,Meat,Meat,9900
Gabon,Meat,Meat,5599
Equatorial Guinea,Baby Food,Baby Food,3687
Niger,Vegetables,Vegetables,3699
Burkina Faso,Beverages,Beverages,2203
Malawi,Snacks,Snacks,7798
Thailand,Vegetables,Vegetables,6113
Romania,Vegetables,Vegetables,4810
Cambodia,Beverages,Beverages,8581
South Africa,Baby Food,Baby Food,4149
United Kingdom,Office Supplies,Office Supplies,5270
Denmark,Clothes,Clothes,7730
Laos,Snacks,Snacks,4346
Ireland,Fruits,Fruits,9966
Czech Republic,Office Supplies,Office Supplies,6471
Namibia,Snacks,Snacks,7772
Pakistan,Snacks,Snacks,4810
Cote d'Ivoire,Clothes,Clothes,561
Marshall Islands,Household,Household,5028
Iceland,Snacks,Snacks,248
Uganda,Cosmetics,Cosmetics,5287
Cyprus,Household,Household,1246
Lesotho,Vegetables,Vegetables,6253
Hungary,Snacks,Snacks,470
Ukraine,Baby Food,Baby Food,1089
Belize,Office Supplies,Office Supplies,7334
United Arab Emirates,Household,Household,5459
Oman,Fruits,Fruits,3751
Poland,Personal Care,Personal Care,7528
South Africa,Baby Food,Baby Food,4137
Guinea,Snacks,Snacks,7959
Denmark,Cosmetics,Cosmetics,5404
Turkmenistan,Cosmetics,Cosmetics,9916
Saint Kitts and Nevis ,Snacks,Snacks,6968
Republic of the Congo,Cereal,Cereal,9064
Sri Lanka,Snacks,Snacks,741
Nauru,Beverages,Beverages,3567
Armenia,Beverages,Beverages,1139
Ukraine,Household,Household,4088
Palau,Meat,Meat,5075
Czech Republic,Cereal,Cereal,3792
Lebanon,Household,Household,1963
Belize,Household,Household,8343
Belgium,Vegetables,Vegetables,3718
Angola,Snacks,Snacks,5905
Malawi,Cosmetics,Cosmetics,4753
Andorra,Meat,Meat,7141
United Kingdom,Personal Care,Personal Care,1982
Georgia,Office Supplies,Office Supplies,5217
Spain,Household,Household,4820
South Korea,Cosmetics,Cosmetics,5796
Indonesia,Office Supplies,Office Supplies,5181
Mauritius ,Cereal,Cereal,7042
Burundi,Meat,Meat,7478
Bulgaria,Cereal,Cereal,9619
Tunisia ,Cosmetics,Cosmetics,8626
Poland,Baby Food,Baby Food,6691
Guinea-Bissau,Household,Household,8038
Montenegro,Office Supplies,Office Supplies,3922
Belize,Baby Food,Baby Food,7630
Burundi,Meat,Meat,9477
Iraq,Personal Care,Personal Care,1814
Senegal,Fruits,Fruits,4020
Liechtenstein,Cereal,Cereal,7505
Tanzania,Household,Household,713
Belarus,Office Supplies,Office Supplies,4118
Palau,Baby Food,Baby Food,5223
Algeria,Household,Household,3565
Spain,Clothes,Clothes,5712
Canada,Vegetables,Vegetables,262
Egypt,Clothes,Clothes,2844
Qatar,Beverages,Beverages,1121
Uganda,Beverages,Beverages,9785
Belarus,Personal Care,Personal Care,5558
South Sudan,Snacks,Snacks,2197
Indonesia,Cosmetics,Cosmetics,5487
United Kingdom,Personal Care,Personal Care,8245
Tuvalu,Office Supplies,Office Supplies,5321
Spain,Vegetables,Vegetables,8593
Samoa ,Personal Care,Personal Care,1974
Ethiopia,Clothes,Clothes,6405
India,Baby Food,Baby Food,4860
Monaco,Meat,Meat,7345
Portugal,Office Supplies,Office Supplies,5895
Vanuatu,Clothes,Clothes,9577
Mauritius ,Meat,Meat,9491
Nepal,Household,Household,3765
Tanzania,Clothes,Clothes,2562
Benin,Snacks,Snacks,3074
Gabon,Vegetables,Vegetables,4524
Sudan,Beverages,Beverages,3167
Cameroon,Baby Food,Baby Food,7289
Iran,Cereal,Cereal,2208
Tunisia ,Meat,Meat,5272
Libya,Meat,Meat,862
Somalia,Fruits,Fruits,5388
Zimbabwe,Beverages,Beverages,2292
Comoros,Vegetables,Vegetables,7049
San Marino,Clothes,Clothes,2163
New Zealand,Clothes,Clothes,2170
Bosnia and Herzegovina,Vegetables,Vegetables,8638
Mexico,Cereal,Cereal,5165
Myanmar,Household,Household,2382
Turkey,Household,Household,2949
Ethiopia,Household,Household,6559
Algeria,Snacks,Snacks,4935
Poland,Household,Household,6832
Canada,Vegetables,Vegetables,3037
Saint Lucia,Cereal,Cereal,1367
Federated States of Micronesia,Beverages,Beverages,1670
Tonga,Beverages,Beverages,826
Kuwait,Beverages,Beverages,7747
Lithuania,Beverages,Beverages,8374
Denmark,Personal Care,Personal Care,682
Mongolia,Personal Care,Personal Care,9676
Saint Vincent and the Grenadines,Household,Household,2390
Monaco,Fruits,Fruits,2894
Comoros,Beverages,Beverages,7285
Afghanistan,Baby Food,Baby Food,8694
Bulgaria,Household,Household,2281
Vietnam,Office Supplies,Office Supplies,239
Slovenia,Cosmetics,Cosmetics,6791
El Salvador,Cosmetics,Cosmetics,3193
Belize,Vegetables,Vegetables,2730
Fiji,Personal Care,Personal Care,5720
Myanmar,Household,Household,4512
Namibia,Personal Care,Personal Care,8485
Rwanda,Clothes,Clothes,9051
Libya,Beverages,Beverages,4652
Tanzania,Personal Care,Personal Care,5761
Tunisia ,Fruits,Fruits,9884
Greenland,Cosmetics,Cosmetics,6556
Ireland,Clothes,Clothes,2345
Cyprus,Cereal,Cereal,5850
Albania,Office Supplies,Office Supplies,2701
North Korea,Clothes,Clothes,558
Senegal,Cosmetics,Cosmetics,4114
Guinea-Bissau,Office Supplies,Office Supplies,92
Belgium,Office Supplies,Office Supplies,2249
Madagascar,Snacks,Snacks,6368
Indonesia,Meat,Meat,5269
Benin,Clothes,Clothes,3800
Equatorial Guinea,Vegetables,Vegetables,3840
Iraq,Personal Care,Personal Care,9301
Denmark,Snacks,Snacks,1125
Latvia,Office Supplies,Office Supplies,2285
Tuvalu,Meat,Meat,2787
Guatemala,Cosmetics,Cosmetics,4667
Vietnam,Personal Care,Personal Care,6992
Iceland,Personal Care,Personal Care,861
Romania,Cereal,Cereal,4403
Slovakia,Beverages,Beverages,7780
Sudan,Snacks,Snacks,8184
Bangladesh,Office Supplies,Office Supplies,4839
Belize,Vegetables,Vegetables,4000
Oman,Beverages,Beverages,3952
Nauru,Snacks,Snacks,14
Cameroon,Cosmetics,Cosmetics,9533
Comoros,Vegetables,Vegetables,6890
Morocco,Meat,Meat,8496
Ghana,Clothes,Clothes,7793
Nigeria,Cereal,Cereal,255
Belarus,Meat,Meat,8386
South Sudan,Snacks,Snacks,6723
Democratic Republic of the Congo,Beverages,Beverages,6834
Sierra Leone,Vegetables,Vegetables,2316
Cote d'Ivoire,Beverages,Beverages,3801
Haiti,Cereal,Cereal,3948
Qatar,Office Supplies,Office Supplies,2450
Bahrain,Fruits,Fruits,1031
Lithuania,Beverages,Beverages,8446
Namibia,Personal Care,Personal Care,5481
Cape Verde,Personal Care,Personal Care,9953
Algeria,Beverages,Beverages,1711
Gabon,Personal Care,Personal Care,7635
Kiribati,Meat,Meat,6636
United Kingdom,Personal Care,Personal Care,4656
Qatar,Personal Care,Personal Care,9669
Bahrain,Fruits,Fruits,6680
Denmark,Baby Food,Baby Food,2725
Taiwan,Household,Household,1871
Malawi,Meat,Meat,218
North Korea,Baby Food,Baby Food,894
Moldova ,Office Supplies,Office Supplies,9061
Swaziland,Baby Food,Baby Food,6911
Albania,Beverages,Beverages,8669
Mauritania,Cosmetics,Cosmetics,5588
Panama,Snacks,Snacks,955
Syria,Snacks,Snacks,5088
South Korea,Beverages,Beverages,335
Seychelles ,Baby Food,Baby Food,6076
France,Personal Care,Personal Care,3722
Dominican Republic,Office Supplies,Office Supplies,1715
Antigua and Barbuda ,Beverages,Beverages,529
Grenada,Personal Care,Personal Care,7670
Solomon Islands,Snacks,Snacks,2672
Czech Republic,Beverages,Beverages,2104
Iran,Baby Food,Baby Food,4564
Montenegro,Fruits,Fruits,5682
Kiribati,Clothes,Clothes,3119
Sierra Leone,Meat,Meat,1568
Cyprus,Vegetables,Vegetables,7751
Lesotho,Cosmetics,Cosmetics,5425
Nicaragua,Household,Household,375
Haiti,Personal Care,Personal Care,5419
Liechtenstein,Vegetables,Vegetables,5404
Indonesia,Personal Care,Personal Care,2212
Norway,Clothes,Clothes,9753
Samoa ,Cosmetics,Cosmetics,8969
Mozambique,Baby Food,Baby Food,2835
Guatemala,Clothes,Clothes,1354
Mauritius ,Cosmetics,Cosmetics,6564
Georgia,Personal Care,Personal Care,7532
Tuvalu,Clothes,Clothes,5356
Togo,Clothes,Clothes,8166
Uzbekistan,Cosmetics,Cosmetics,6123
Bahrain,Baby Food,Baby Food,6419
Bulgaria,Household,Household,8279
Cyprus,Beverages,Beverages,7958
Mauritania,Cereal,Cereal,3740
Malawi,Household,Household,944
Jordan,Baby Food,Baby Food,6918
Andorra,Office Supplies,Office Supplies,6043
Tunisia ,Beverages,Beverages,4729
Burkina Faso,Snacks,Snacks,6419
Indonesia,Baby Food,Baby Food,6585
Iran,Meat,Meat,7735
Sao Tome and Principe,Cereal,Cereal,4402
Lebanon,Household,Household,8155
Tunisia ,Snacks,Snacks,2593
Malta,Office Supplies,Office Supplies,8344
India,Clothes,Clothes,8072
Guinea-Bissau,Office Supplies,Office Supplies,1466
Syria,Snacks,Snacks,253
Malta,Fruits,Fruits,3185
Jordan,Baby Food,Baby Food,1050
Malawi,Fruits,Fruits,1665
Macedonia,Baby Food,Baby Food,4878
Dominica,Office Supplies,Office Supplies,7570
Equatorial Guinea,Fruits,Fruits,8651
Central African Republic,Meat,Meat,4063
Israel,Snacks,Snacks,1781
Croatia,Baby Food,Baby Food,6810
Malaysia,Personal Care,Personal Care,6185
Seychelles ,Fruits,Fruits,3974
Federated States of Micronesia,Vegetables,Vegetables,6275
Brunei,Fruits,Fruits,6219
Haiti,Vegetables,Vegetables,8966
Central African Republic,Clothes,Clothes,6709
Taiwan,Clothes,Clothes,3671
Nepal,Office Supplies,Office Supplies,1108
The Gambia,Personal Care,Personal Care,2306
Jamaica,Vegetables,Vegetables,7581
Myanmar,Office Supplies,Office Supplies,9283
New Zealand,Household,Household,6792
Zimbabwe,Personal Care,Personal Care,1517
Indonesia,Cereal,Cereal,1903
Andorra,Office Supplies,Office Supplies,8423
Cambodia,Cosmetics,Cosmetics,8581
Slovakia,Household,Household,1913
Estonia,Fruits,Fruits,4988
Myanmar,Cereal,Cereal,6403
Botswana,Vegetables,Vegetables,1788
Swaziland,Beverages,Beverages,8805
Marshall Islands,Cereal,Cereal,2147
Fiji,Meat,Meat,8535
Denmark,Cosmetics,Cosmetics,1727
Ukraine,Household,Household,7507
Turkey,Snacks,Snacks,8693
Lebanon,Cereal,Cereal,133
Liechtenstein,Baby Food,Baby Food,3709
Lesotho,Cereal,Cereal,3330
Burundi,Personal Care,Personal Care,9939
Croatia,Snacks,Snacks,6509
Armenia,Cereal,Cereal,3047
Nepal,Vegetables,Vegetables,1587
Nicaragua,Clothes,Clothes,1197
Botswana,Cosmetics,Cosmetics,2976
Latvia,Personal Care,Personal Care,5053
